x,y,z,size
7.38696,4.599955,37.19214,0.01
7.38696,4.599955,37.19214,0.01
7.38696,4.599955,37.19214,0.01
7.78463,4.640853,37.19214,0.01
7.78463,4.640853,37.19214,0.01
7.78463,4.640853,37.19214,0.01
5.894416,2.451433,37.19214,0.01
5.894416,2.451433,37.19214,0.01
5.894416,2.451433,37.19214,0.01
2.983405,-0.2585334,37.19214,0.01
2.983405,-0.2585334,37.19214,0.01
2.983405,-0.2585334,37.19214,0.01
2.983405,-0.2585334,37.19214,0.01
2.414058,-0.6998039,37.19214,0.01
2.414058,-0.6998039,37.19214,0.01
2.414058,-0.6998039,37.19214,0.01
2.212472,-0.8485506,37.19214,0.01
2.212472,-0.8485506,37.19214,0.01
2.212472,-0.8485506,37.19214,0.01
2.271236,-1.366419,37.19214,0.01
2.271236,-1.366419,37.19214,0.01
2.271236,-1.366419,37.19214,0.01
2.425892,-0.3902696,37.19214,0.01
2.425892,-0.3902696,37.19214,0.01
2.425892,-0.3902696,37.19214,0.01
2.350123,-1.169898,37.19214,0.01
2.297777,-1.219376,37.19214,0.01
2.297777,-1.219376,37.19214,0.01
2.225452,-1.418892,37.19214,0.01
2.225452,-1.418892,37.19214,0.01
2.225452,-1.418892,37.19214,0.01
2.225452,-1.418892,37.19214,0.01
2.217926,-1.487299,37.19214,0.01
2.217926,-1.487299,37.19214,0.01
2.217926,-1.487299,37.19214,0.01
2.216594,-1.525693,37.19214,0.01
2.216594,-1.525693,37.19214,0.01
2.216594,-1.525693,37.19214,0.01
2.2191,-1.441746,37.19214,0.01
2.2191,-1.441746,37.19214,0.01
2.2191,-1.441746,37.19214,0.01
2.308927,-1.255544,37.19214,0.01
2.308927,-1.255544,37.19214,0.01
2.308927,-1.255544,37.19214,0.01
2.308927,-1.255544,37.19214,0.01
2.28598,-1.046663,37.19214,0.01
2.28598,-1.046663,37.19214,0.01
2.28598,-1.046663,37.19214,0.01
2.26862,-1.065093,37.19214,0.01
2.26862,-1.065093,37.19214,0.01
2.26862,-1.065093,37.19214,0.01
0.776836,-1.128672,37.19214,0.01
0.776836,-1.128672,37.19214,0.01
0.776836,-1.128672,37.19214,0.01
0.776836,-1.128672,37.19214,0.01
