x,y,z,size
2.949949,3.717316,20.75792,0.01
2.949949,3.717316,20.75792,0.01
2.949949,3.717316,20.75792,0.01
2.605522,3.946245,20.75792,0.01
2.605522,3.946245,20.75792,0.01
2.605522,3.946245,20.75792,0.01
2.605522,3.946245,20.75792,0.01
2.192148,3.805416,20.75792,0.01
2.192148,3.805416,20.75792,0.01
2.192148,3.805416,20.75792,0.01
-1.18687,-1.259149,20.75792,0.01
-1.18687,-1.259149,20.75792,0.01
-1.18687,-1.259149,20.75792,0.01
-1.18687,-1.259149,20.75792,0.01
-1.172865,-1.343297,20.75792,0.01
-1.172865,-1.343297,20.75792,0.01
-1.172865,-1.343297,20.75792,0.01
-0.4671511,-0.1299751,20.75792,0.01
-0.4671511,-0.1299751,20.75792,0.01
-0.4671511,-0.1299751,20.75792,0.01
-0.158046,0.224771,20.75792,0.01
-0.158046,0.224771,20.75792,0.01
-0.158046,0.224771,20.75792,0.01
-0.03286363,0.2914555,20.75792,0.01
-0.03286363,0.2914555,20.75792,0.01
-0.03286363,0.2914555,20.75792,0.01
-0.03286363,0.2914555,20.75792,0.01
-0.04771439,0.4698078,20.75792,0.01
-0.04771439,0.4698078,20.75792,0.01
-0.04771439,0.4698078,20.75792,0.01
-0.05423555,0.4775047,20.75792,0.01
-0.05423555,0.4775047,20.75792,0.01
-0.05584263,0.4745132,20.75792,0.01
-0.134518,0.4243324,20.75792,0.01
-0.134518,0.4243324,20.75792,0.01
-0.134518,0.4243324,20.75792,0.01
-0.134518,0.4243324,20.75792,0.01
-0.1823951,0.3540855,20.75792,0.01
-0.1823951,0.3540855,20.75792,0.01
-0.1823951,0.3540855,20.75792,0.01
-0.2704432,0.2833499,20.75792,0.01
-0.2704432,0.2833499,20.75792,0.01
-0.2704432,0.2833499,20.75792,0.01
-0.0526244,0.4752232,20.75792,0.01
-0.0526244,0.4752232,20.75792,0.01
-0.0526244,0.4752232,20.75792,0.01
0.009095788,0.626682,20.75792,0.01
0.009095788,0.626682,20.75792,0.01
