x,y,z,size
-0.2608269,2.412242,24.36469,0.01
-0.2608269,2.412242,24.36469,0.01
-0.2608269,2.412242,24.36469,0.01
4.354877,3.933698,24.36469,0.01
4.354877,3.933698,24.36469,0.01
4.354877,3.933698,24.36469,0.01
4.354877,3.933698,24.36469,0.01
4.314351,3.871012,24.36469,0.01
4.314351,3.871012,24.36469,0.01
4.314351,3.871012,24.36469,0.01
0.899353,-0.6234905,24.36469,0.01
0.899353,-0.6234905,24.36469,0.01
0.899353,-0.6234905,24.36469,0.01
0.3571138,-0.8022334,24.36469,0.01
0.3571138,-0.8022334,24.36469,0.01
0.3571138,-0.8022334,24.36469,0.01
0.3571138,-0.8022334,24.36469,0.01
0.2733062,-0.4960237,24.36469,0.01
0.2733062,-0.4960237,24.36469,0.01
0.2733062,-0.4960237,24.36469,0.01
0.4219071,-0.2748948,24.36469,0.01
0.4219071,-0.2748948,24.36469,0.01
0.4219071,-0.2748948,24.36469,0.01
0.5084307,-0.2578338,24.36469,0.01
0.5084307,-0.2578338,24.36469,0.01
0.5084307,-0.2578338,24.36469,0.01
0.5387058,-0.2532174,24.36469,0.01
0.5387058,-0.2532174,24.36469,0.01
0.5387058,-0.2532174,24.36469,0.01
0.5387058,-0.2532174,24.36469,0.01
0.5069517,-0.2533136,24.36469,0.01
0.5069517,-0.2533136,24.36469,0.01
0.5069517,-0.2533136,24.36469,0.01
0.4955889,-0.2840057,24.36469,0.01
0.4955889,-0.2840057,24.36469,0.01
0.4955889,-0.2840057,24.36469,0.01
0.6788558,-0.09453845,24.36469,0.01
0.6788558,-0.09453845,24.36469,0.01
0.6788558,-0.09453845,24.36469,0.01
0.6788558,-0.09453845,24.36469,0.01
0.72767,-0.02384496,24.36469,0.01
0.72767,-0.02384496,24.36469,0.01
0.72767,-0.02384496,24.36469,0.01
0.8003642,0.04241765,24.36469,0.01
0.8003642,0.04241765,24.36469,0.01
0.8003642,0.04241765,24.36469,0.01
0.8851207,0.06427079,24.36469,0.01
0.8851207,0.06427079,24.36469,0.01
0.8851207,0.06427079,24.36469,0.01
0.9126663,0.09103805,24.36469,0.01
0.9126663,0.09103805,24.36469,0.01
0.9126663,0.09103805,24.36469,0.01
0.9126663,0.09103805,24.36469,0.01
0.9247224,0.1214041,24.36469,0.01
0.9247224,0.1214041,24.36469,0.01
0.9247224,0.1214041,24.36469,0.01
0.9453668,0.1328824,24.36469,0.01
0.9453668,0.1328824,24.36469,0.01
0.9453668,0.1328824,24.36469,0.01
